Designator,Mid X,Mid Y,Rotation,Layer
ACCUM,117.5166,-113.957295,0.0,top
BSE,144.55,-114.0154,0.0,top
C1,133.245,-80.8966,0.0,top
C10,145.3134,-73.8378,180.0,top
C11,146.6342,-79.121,270.0,top
C14,135.125,-110.6,180.0,top
C15,109.347,-100.838,90.0,top
C16,118.670767,-100.838,90.0,top
C17,126.9492,-100.838,90.0,top
C18,136.4234,-100.838,90.0,top
C19,145.2372,-100.838,90.0,top
C2,113.8428,-84.1756,270.0,top
C20,157.5929,-100.8166,90.0,top
C21,154.7368,-80.3656,270.0,top
C22,147.5853,-87.884,270.0,top
C23,138.5175,-87.9602,270.0,top
C24,128.3208,-88.4174,270.0,top
C25,118.1608,-88.4936,270.0,top
C26,110.5154,-107.0356,180.0,top
C4,118.8702,-73.3044,0.0,top
C5,127.2268,-71.628,180.0,top
J3,161.722895,-80.7974,90.0,top
J5,161.189495,-92.7354,90.0,top
Q1,156.2495,-86.4108,90.0,top
R1,133.145,-73.1266,0.0,top
R11,113.2628,-96.266,180.0,top
R12,121.8226,-96.266,180.0,top
R13,130.5348,-96.266,180.0,top
R14,143.1376,-105.3338,180.0,top
R15,139.6026,-96.266,180.0,top
R16,164.9984,-105.3592,180.0,top
R17,151.5958,-105.3338,180.0,top
R18,138.4554,-79.1718,90.0,top
R2,133.315,-77.2466,0.0,top
R20,142.7734,-79.2988,90.0,top
R21,148.0608,-96.266,180.0,top
R22,160.9344,-118.2878,270.0,top
R23,162.4076,-112.0394,180.0,top
R24,165.1367,-100.8366,270.0,top
R3,124.9916,-80.9498,0.0,top
R4,118.8466,-77.0128,180.0,top
RV6,103.3018,-108.7374,270.0,top
RV7,103.2814,-93.1672,270.0,top
U1,125.906,-76.1238,90.0,top
U10,148.6408,-101.0666,270.0,top
U11,122.4139,-88.5698,270.0,top
U12,161.2251,-101.0666,270.0,top
U17,150.7123,-80.2386,90.0,top
U18,132.8674,-88.2904,270.0,top
U3,105.3592,-82.8839,180.0,top
U4,113.8428,-101.0666,270.0,top
U5,122.4026,-101.0666,270.0,top
U6,131.1148,-101.0666,270.0,top
U7,151.5336,-87.7824,270.0,top
U8,143.0133,-87.9602,270.0,top
U9,140.1826,-101.0666,270.0,top
