"Reference","Qty","Value","DNP","Footprint","Datasheet","JLC#","MPN","Digikey"
"D3","1","LED GREEN","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8639582106239348736"," C2297"," KT-0805G",""
"H101,H102,H103,H104","4","MountingHole","DNP","MountingHole:MountingHole_2.2mm_M2","","","",""
"R11,R12","2","100","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8562006687177089024"," C17408","",""
"R5,R6,R7,R108,R109,R111,R113","7","1k","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579706499683172352"," C17513","0805W8F1001T5E","1.00KXBK-ND,13-MFR-25FRF52-10KCT-ND"
"R1,R2,R8,R10,R105,R106","6","10k","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8562006748401074176","C17414","0805W8F1002T5E","13-MFR-25FRF52-10KCT-ND"
"R103,R104,R110,R112","4","100k","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8588884762697584640","C149504","0805W8F1003T5E","13-MFR-25FRF52-100KCT-ND"
"R3,R4,R9","3","500","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8588919142501638144","C2828711","ARG05BTC5000","13-MFR25SFTF52-270RCT-ND"
"U6","1","74HC00","","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74hc00","C2902","SN74HC00N","296-1563-5-ND"
"U5","1","74LS279","","Package_DIP:DIP-16_W7.62mm","https://www.ti.com/lit/gpn/sn54ls279a"," C41430933","SN74LS279AN","296-3684-5-ND"
"F1","1","Fuse","DNP","Fuse:Fuseholder_Blade_Mini_Keystone_3568","https://www.digikey.com/en/products/detail/keystone-electronics/3568/2137306","","","  36-3568-ND"
"C105","1","0.33u","","Capacitor_SMD:C_0402_1005Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8588898744154116096","C107013 "," CC0402KRX5R6BB334","445-173139-1-ND"
"Q103,Q104,Q105,Q106","4","Q_NPN_BEC","","Package_TO_SOT_SMD:SOT-23","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579710511040020480","C2146","S8050 J3Y(RANGE:200-350)","4878-BC338-25TB-ND"
"C101,C102,C106","3","0.01u","","Capacitor_SMD:C_0402_1005Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8588894393365368832","C15195"," CL05B103KB5NNNC","490-8813-ND"
"C3,C117","2","100n","","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8586177280427642880","C1591"," CL10B104KB8NNNC","490-8815-ND"
"U107","1","LM7805_TO220","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","C71107","LM7805L-TF3-T","497-1442-5-ND"
"D1,D2","2","LED","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8550724080677908480"," C84256","NCD0805R1","516-1313-ND"
"U1,U2","2","SFH617A-1","","Package_DIP:DIP-4_W7.62mm","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8588949783973408768","C5350","PC817X2NSZW","58-SFH615A-1X-ND"
"Q1,Q2,Q3,Q4","4","NMOS","","Package_TO_SOT_THT:TO-251-3_Vertical","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8590339484375425024"," C3278986"," IPU60R2K1CEAKMA1","  IPU60R2K1CEAKMA1-ND"
"D4,D101,D102","3","D_Schottky","","Diode_SMD:D_SMA","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8586172667489079296","C8678"," SS34","SR304A0GCT-ND"
"SW101,SW102","2","SW_Omron_B3FS","","Button_Switch_SMD:SW_SPST_Omron_B3FS-100xP","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf","C271750","B3FS-1000P","  SW400-ND"
"J1,J2","2","Molex6pin","","Connector_Molex:Molex_Nano-Fit_105314-xx06_2x03_P2.50mm_Horizontal","https://www.digikey.com/en/products/detail/molex/1053141106/7693189?utm_source=oemsecrets&utm_medium=aggregator&utm_campaign=buynow","C586245","1053141106","  WM3802-ND"
"K101,K102","2","Relay_SPDT_Omron_G2RL-1","","Relay_THT:Relay_SPDT_Omron_G2RL-1","https://components.omron.com/sites/components.omron.com.us/files/datasheet_pdf/J117-E1.pdf"," C469130"," G2RL-1-DC12","  Z3076-ND"
