Designator,Mid X,Mid Y,Layer,Rotation
C101,67.9295,-9.101,top,-90
C102,39.544,-25.902,top,-90
C103,39.544,-32.3845,top,-90
C104,58.152,-31.617,top,90
C105,67.84425,-53.61975,top,90
C106,67.781,-32.4425,top,90
C107,54.061,-48.97,top,180
C108,54.041,-46.47,top,180
C109,54.561,-52.47,top,180
C110,51.4875,-49.9685,top,90
C111,57.185,-55.773,top,0
C112,51.228,-55.2635,top,-90
C113,14.083,-53.969,top,180
C114,20.941,-55.112,top,-90
C115,17.004,-58.668,top,0
C116,57.77,-59.939,top,180
C117,54.088,-23.997,top,90
D101,24.361,-30.7915,top,0
D102,24.878,-16.5675,top,0
D103,23.481,-45.651,top,-90
D104,23.4365,-12.817,top,0
D105,22.068,-41.333,top,0
D106,23.6905,-26.914,top,0
D107,30.71,-43.988,top,-90
D108,40.96,-43.888,top,-90
J1,41.3896,-59.689902,top,0
J3,20.085,-62.158,top,-90
J4,12.08,-64.798,top,180
K101,25.6865,-9.134,top,180
K102,25.9405,-37.709,top,180
K103,25.9405,-23.4215,top,180
Q101,66.7395,-2.431,top,180
Q102,66.7395,-15.4995,top,0
Q103,66.65275,-60.66575,top,180
Q104,66.89425,-46.84025,top,90
Q105,30.7395,-50.1546,top,-90
Q106,30.7395,-54.2896,top,-90
Q107,20.677,-16.9485,top,180
Q108,20.842,-31.4265,top,180
Q109,20.677,-44.4365,top,0
Q110,66.591,-38.7925,top,180
Q111,66.857,-25.872,top,90
Q112,35.6975,-54.3681,top,-90
Q113,46.07,-69.498,top,180
Q114,40.9655,-50.2391,top,-90
Q115,40.9655,-54.3741,top,-90
Q116,35.8855,-45.516,top,-90
R101,71.285,-17.673,top,-90
R102,35.31,0.452,top,90
R103,42.26,0.452,top,-90
R104,49.01,0.452,top,90
R105,70.753,-2.9785,top,-90
R106,35.287,-13.964,top,90
R107,49.008,-13.964,top,90
R108,66.8095,-5.863,top,180
R109,42.241,-13.964,top,90
R110,66.8095,-12.213,top,180
R111,66.8095,-18.499,top,180
R112,28.0115,-57.2891,top,0
R113,71.41,-45.523,top,90
R114,70.81925,-60.73125,top,90
R115,66.70125,-57.30275,top,180
R116,28.853,-30.7915,top,0
R117,29.323,-16.5675,top,0
R118,20.306,-47.1115,top,180
R119,66.70125,-50.31775,top,180
R120,66.82825,-43.45975,top,180
R121,33.7265,-50.1771,top,90
R122,70.779,-23.661,top,90
R123,70.779,-38.9195,top,90
R124,66.661,-35.6175,top,180
R125,6.209,-14.218,top,-90
R126,6.336,-29.712,top,-90
R127,66.661,-29.2675,top,180
R129,66.707,-22.3645,top,180
R130,33.2185,-57.2891,top,180
R131,59.041,-45.079,top,0
R132,60.216,-56.47,top,0
R133,45.767,-55.232,top,90
R134,50.12,-68.498,top,180
R135,24.91,-63.473,top,90
R136,38.0445,-50.1631,top,90
R137,35.8855,-41.396,top,-90
R138,35.8855,-50.1631,top,90
SW101,73.138,-10.3445,top,90
SW102,73.26925,-53.11125,top,90
SW103,73.229,-31.426,top,90
U2,56.755,-67.974,top,-90
U101,35.292,-3.052,top,-90
U102,42.246,-3.052,top,-90
U103,49.013,-3.052,top,-90
U104,42.465,-26.029,top,90
U105,42.465,-32.506,top,90
U106,55.231,-31.617,top,-90
U107,49.2,-29.204,top,0
U109,16.359,-16.35025,top,180
U110,16.613,-30.63775,top,180
U117,48.7595,-50.4765,top,0
U118,59.041,-49.97,top,-90
U119,48.754,-54.662,top,-90
U121,49.14,-58.4875,top,-90
