Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C105, C106",0603,3,10n,
"C102, C103, C104, C116, C117",0603,5,100n,
C107,0402,1,1u,
"C108, C110, C112",0402,3,0.1u,
C109,0402,1,.01u,
C111,0402,1,22u,
C113,CP_Elec_6.3x5.4,1,47u,
C114,0805,1,1u,
C115,0603,1,0.33u,
"D101, D102, D103",0805,3,RED,
"D104, D105, D106, D107, D108",D_SMA,5,D_Schottky,
J1,CONN_SD-105314-100_12_MOL,1,1053141312,
"J3, J4",Molex_Nano-Fit_105313-xx02_1x02_P2.50mm_Horizontal,2,1053131202,
"K101, K102, K103",Relay_SPST-NO_Fujitsu_FTR-LYAA005x_FormA_Vertical,3,Fujitsu_FTR-LYAA005x,
"Q101, Q102, Q103, Q104, Q110, Q111",SOT-23,6,Q_NPN_BEC,
"Q105, Q106, Q112, Q113, Q114, Q115, Q116",SOT-23,7,Q_NMOS_GSD,
"Q107, Q108, Q109",SOT-523,3,Q_PMOS_GSD,
"R101, R110, R113, R119, R122, R127",0805,6,100k,
"R102, R103, R104, R133",0805,4,220,
"R105, R114, R121, R123, R125, R126, R134, R136, R137, R138",0805,10,10k,
"R106, R107, R108, R109, R111, R115, R120, R124, R129",0805,9,1k,
"R112, R135",0603,2,510R,
"R116, R117, R118",0805,3,2k,
R130,0603,1,270R,
R131,0603,1,15k,
R132,0603,1,100k,
"SW101, SW102, SW103",SW_SPST_Omron_B3FS-100xP,3,SW_Omron_B3FS,
TP1,TestPoint_Pad_D1.5mm,1,TestPoint_BMS,
TP2,TestPoint_Pad_D1.5mm,1,TestPoint_IMD,
TP3,TestPoint_Pad_D1.5mm,1,TestPoint_BSPD,
TP4,TestPoint_Pad_D1.5mm,1,TestPoint_BMS_Shutdown,
TP5,TestPoint_Pad_D1.5mm,1,TestPoint_IMD_Shutdown,
TP6,TestPoint_Pad_D1.5mm,1,TestPoint_BSPD_Shutdown,
TP7,TestPoint_Pad_D1.5mm,1,TestPoint_SR_BMS,
TP8,TestPoint_Pad_D1.5mm,1,TestPoint_SR_IMD,
TP9,TestPoint_Pad_D1.5mm,1,TestPoint_SR_BSPD,
"U104, U105, U106, U117, U119",SOT-23-5,5,74AHC1G00,
U118,SOIC-8_3.9x4.9mm_P1.27mm,1,LM555xM,
U2,TO-252-3_TabPin2,1,LM1117DT-5.0,
